stimulus,List,Concrete_m,Concrete_sd,Number_of_ratings,Number_of_N-respones,Number_of_subjects
eenvormig,2,2.13,1.19,15,0,15
eenvoud,2,1.47,0.64,15,0,15
eenvoudig,3,1.67,1.23,15,0,15
eenvoudigweg,2,1.60,0.74,15,0,15
eenwieler,3,4.67,0.49,15,0,15
eenzaam,3,1.67,0.90,15,0,15
eenzaamheid,2,1.47,0.52,15,0,15
eenzaat,3,2.27,1.28,15,0,15
eenzelvig,4,1.50,0.52,14,1,15
eenzijdig,1,1.73,0.88,15,0,15
eer,5,1.40,0.63,15,0,15
eerbaar,1,1.40,0.83,15,0,15
eerbejag,5,1.31,0.48,13,2,15
eerbetoon,1,1.93,0.80,15,0,15
eerbewijs,2,2.21,1.12,14,1,15
eerbied,4,1.87,1.13,15,0,15
eerbiedig,5,1.67,0.90,15,0,15
eerbiedigen,5,2.13,0.83,15,0,15
eerbiedwaardig,4,1.80,0.86,15,0,15
eerdaags,3,1.67,0.98,12,3,15
eerder,1,1.40,0.63,15,0,15
eergevoel,3,1.47,0.83,15,0,15
eergierig,5,1.69,0.85,13,2,15
eergisteren,3,2.20,1.15,15,0,15
eerlang,1,1.75,1.14,12,3,15
eerlijk,3,1.67,1.11,15,0,15
eerlijkheid,5,1.60,0.83,15,0,15
eerlijkheidshalve,3,1.33,0.82,15,0,15
eerloos,2,1.40,0.51,15,0,15
eerroof,2,1.60,0.63,15,0,15
eerst,2,2.53,1.41,15,0,15
eerste,5,2.20,1.47,15,0,15
eerstegraads,4,2.33,1.05,15,0,15
eerstejaars,5,1.93,1.28,15,0,15
eersteklas,4,3.00,1.07,15,0,15
eersteling,1,2.31,1.44,13,2,15
eersterangs,1,1.67,0.90,15,0,15
eerstvolgend,4,1.80,1.21,15,0,15
eertijds,1,1.46,0.97,13,2,15
eervol,2,1.47,0.64,15,0,15
eerwaarde,5,1.93,1.00,14,1,15
eerwraak,1,1.73,1.22,15,0,15
eerzaam,4,1.80,1.01,15,0,15
eerzucht,4,1.77,1.01,13,2,15
eerzuchtig,1,1.47,0.64,15,0,15
eest,4,2.75,1.71,4,11,15
eetbaar,3,2.80,1.37,15,0,15
eethuis,4,4.27,0.70,15,0,15
eetkamer,5,4.13,0.74,15,0,15
eetlepel,3,4.53,0.52,15,0,15
eetlust,3,2.27,1.33,15,0,15
eetmaal,5,3.38,1.12,13,2,15
eetstokje,2,4.20,1.08,15,0,15
eetstoornis,5,2.47,0.83,15,0,15
eettafel,4,4.80,0.41,15,0,15
eetwaar,1,4.13,0.74,15,0,15
eetwaren,2,3.73,0.80,15,0,15
eetzaal,5,3.87,0.83,15,0,15
eeuw,3,2.33,1.45,15,0,15
eeuweling,5,2.47,1.55,15,0,15
eeuwenlang,5,1.47,0.64,15,0,15
eeuwenoud,4,1.67,0.49,15,0,15
eeuwig,3,1.67,1.11,15,0,15
eeuwigdurend,4,1.60,0.63,15,0,15
eeuwigheid,2,1.33,0.62,15,0,15
effe,1,1.93,1.44,14,1,15
effect,4,2.07,0.80,15,0,15
effectbal,1,3.46,1.05,13,2,15
effectief,4,1.71,1.07,14,1,15
effectiviteit,2,1.47,0.83,15,0,15
effectueren,5,1.75,0.75,12,3,15
effen,2,3.40,1.30,15,0,15
effenen,4,2.79,1.19,14,1,15
efficiency,1,1.71,1.14,14,1,15
efficiënt,1,1.40,0.63,15,0,15
efficiëntie,5,1.40,0.83,15,0,15
eg,4,3.57,1.90,7,8,15
ega,5,2.00,0.89,6,9,15
egaal,4,3.13,0.92,15,0,15
egaliseren,4,2.60,1.24,15,0,15
egalitair,3,1.50,0.85,14,1,15
egel,1,4.87,0.35,15,0,15
egelantier,5,3.78,1.48,9,6,15
eggen,2,3.50,1.29,4,11,15
ego,5,1.27,0.59,15,0,15
egocentrisch,3,1.67,1.11,15,0,15
egocentrisme,5,1.33,0.82,15,0,15
egoïsme,3,1.60,0.99,15,0,15
egoïst,4,2.33,1.45,15,0,15
egoïstisch,3,1.80,1.01,15,0,15
egotrip,2,1.50,0.52,14,1,15
egotripper,1,2.33,1.29,15,0,15
ei,2,5.00,0.00,15,0,15
eicel,4,4.40,0.99,15,0,15
eierdooier,2,4.67,0.62,15,0,15
eierdop,4,4.60,1.06,15,0,15
eierdopje,2,4.67,0.62,15,0,15
eieren,1,4.80,0.41,15,0,15
eierschaal,5,4.73,0.59,15,0,15
eierstok,3,4.07,0.83,14,1,15
eiervormig,5,4.20,0.94,15,0,15
eigeel,3,4.67,0.62,15,0,15
eigen,3,1.53,0.92,15,0,15
eigenaar,4,2.93,1.44,15,0,15
eigenaardig,3,1.60,0.74,15,0,15
eigenares,4,2.87,1.25,15,0,15
eigenbaat,3,1.87,1.25,15,0,15
eigenbelang,3,1.33,0.62,15,0,15
eigendom,4,2.53,1.19,15,0,15
eigendunk,5,1.60,1.06,15,0,15
eigengereid,1,1.60,0.84,10,5,15
eigenhandig,3,1.93,1.22,15,0,15
eigenheid,5,1.27,0.46,15,0,15
eigenheimer,2,4.00,1.41,2,13,15
eigenliefde,5,1.40,0.63,15,0,15
eigenlijk,3,1.33,0.62,15,0,15
eigenmachtig,3,1.50,0.94,14,1,15
eigennaam,5,2.00,1.41,14,1,15
eigenschap,4,2.07,1.33,15,0,15
eigentijds,3,1.67,0.98,15,0,15
eigenwaan,5,1.14,0.36,14,1,15
eigenwaarde,5,1.27,0.46,15,0,15
eigenwijs,1,1.73,1.10,15,0,15
eigenzinnig,2,1.60,0.83,15,0,15
eik,3,4.60,0.74,15,0,15
eikel,3,4.60,0.74,15,0,15
eiken,3,3.80,1.37,15,0,15
eiland,1,4.47,0.92,15,0,15
eilander,3,2.83,1.27,12,3,15
eileider,1,4.33,0.82,15,0,15
eind,4,2.67,1.23,15,0,15
einddoel,4,2.13,0.99,15,0,15
einde,4,2.53,1.25,15,0,15
eindelijk,1,1.27,0.80,15,0,15
eindeloos,1,1.47,0.92,15,0,15
einder,5,2.50,1.20,8,7,15
eindfeest,1,3.40,1.06,15,0,15
eindig,3,1.73,1.10,15,0,15
eindigen,4,2.64,1.08,14,1,15
eindproduct,4,3.20,0.86,15,0,15
eindpunt,3,2.33,1.29,15,0,15
eindresultaat,5,2.40,1.06,15,0,15
eindstreep,4,4.00,0.85,15,0,15
eindwerk,5,2.87,1.60,15,0,15
eis,5,1.80,1.21,15,0,15
eisen,3,2.33,1.11,15,0,15
eiser,3,2.29,1.07,14,1,15
eisprong,5,3.07,1.39,15,0,15
eitje,4,4.73,0.80,15,0,15
eivol,1,2.91,1.64,11,4,15
eiwit,4,4.53,0.74,15,0,15
ejaculatie,5,4.13,1.13,15,0,15
ejaculeren,1,4.07,1.33,15,0,15
ekster,3,4.60,0.83,15,0,15
eksteroog,5,4.00,1.13,15,0,15
el,4,3.75,1.22,12,3,15
elaboratie,5,2.20,1.32,10,5,15
elan,4,2.73,1.42,11,4,15
eland,4,4.93,0.26,15,0,15
elasticiteit,5,3.07,1.03,15,0,15
elastiek,4,4.67,0.62,15,0,15
elastieken,5,4.40,0.74,15,0,15
elastiekje,4,4.80,0.41,15,0,15
elastisch,3,3.40,0.91,15,0,15
elders,5,1.20,0.56,15,0,15
eldorado,2,2.45,1.44,11,4,15
electoraal,2,1.38,0.65,13,2,15
electoraat,4,2.08,0.90,12,3,15
elegant,2,2.33,1.05,15,0,15
elegantie,4,2.40,0.63,15,0,15
elektra,1,3.00,1.61,11,4,15
elektricien,1,4.13,0.83,15,0,15
elektriciteit,3,3.67,1.05,15,0,15
elektrisch,5,3.13,1.13,15,0,15
elektrocuteren,5,3.73,1.33,15,0,15
elektrocutie,2,3.53,1.30,15,0,15
elektrode,1,3.86,1.35,14,1,15
elektromotor,1,4.07,0.96,15,0,15
elektron,2,2.67,1.45,15,0,15
elektronica,1,4.07,1.03,15,0,15
elektronisch,4,3.00,0.85,15,0,15
elektroshock,2,4.00,1.20,15,0,15
elektrotechniek,5,2.47,1.25,15,0,15
element,3,2.33,1.40,15,0,15
elementair,1,1.40,0.83,15,0,15
elf,4,3.13,1.60,15,0,15
elfde,4,3.27,1.62,15,0,15
elfenbankje,2,3.75,1.60,12,3,15
elftal,3,3.60,1.35,15,0,15
eliminatie,4,2.60,1.06,15,0,15
elimineren,5,2.53,1.19,15,0,15
elitair,2,1.40,0.51,15,0,15
elite,1,2.40,1.18,15,0,15
elk,4,1.79,1.58,14,1,15
elkaar,2,1.80,1.15,15,0,15
elkander,1,1.20,0.41,15,0,15
elke,1,1.13,0.35,15,0,15
elkeen,2,1.73,1.03,15,0,15
elleboog,4,4.87,0.52,15,0,15
ellende,1,1.80,0.94,15,0,15
ellendeling,2,2.40,1.12,15,0,15
ellendig,3,1.87,0.99,15,0,15
ellenlang,5,1.80,0.68,15,0,15
ellepijp,2,4.23,1.01,13,2,15
ellips,4,4.27,0.88,15,0,15
elliptisch,3,3.00,1.41,11,4,15
eloquent,1,2.25,1.39,8,7,15
eloquentie,2,1.67,0.87,9,6,15
elpee,3,4.67,0.49,15,0,15
els,3,4.40,1.18,15,0,15
email,2,4.07,0.80,15,0,15
emailadres,1,3.60,1.45,15,0,15
emailen,5,3.47,1.36,15,0,15
emailleren,2,3.00,1.48,11,4,15
emanatie,4,1.60,0.89,5,10,15
emancipatie,1,1.67,1.11,15,0,15
emanciperen,1,2.00,1.41,15,0,15
emballage,2,3.00,1.26,11,4,15
embargo,2,1.38,0.51,13,2,15
embleem,2,3.00,1.07,15,0,15
embolie,3,3.10,1.20,10,5,15
embonpoint,1,3.00,2.00,3,12,15
embryo,4,3.93,0.88,15,0,15
embryonaal,3,2.13,1.13,15,0,15
emergent,3,1.00,0.00,6,9,15
emeritaat,5,1.75,0.89,8,7,15
emeritus,2,2.10,1.10,10,5,15
emigrant,5,2.53,1.13,15,0,15
emigratie,5,1.93,1.16,15,0,15
emigreren,4,2.40,0.83,15,0,15
eminent,3,1.50,0.90,12,3,15
eminentie,5,2.25,1.48,12,3,15
emir,5,3.33,1.50,9,6,15
emiraat,5,1.85,1.14,13,2,15
emissie,5,2.92,1.12,13,2,15
emitteren,4,2.11,1.27,9,6,15
emmentaler,1,4.69,0.48,13,2,15
emmer,3,4.87,0.35,15,0,15
emmeren,1,3.56,1.24,9,6,15
emoe,3,4.50,1.00,12,3,15
emoticon,1,4.33,0.82,15,0,15
emotie,5,2.20,1.21,15,0,15
emotieloos,1,2.27,1.33,15,0,15
emoties,5,2.67,1.11,15,0,15
emotioneel,1,2.00,1.20,15,0,15
empathie,2,1.57,0.85,14,1,15
empathisch,2,1.33,0.62,15,0,15
empirie,5,1.42,0.90,12,3,15
empirisch,3,1.47,0.64,15,0,15
empirisme,2,1.14,0.36,14,1,15
emplacement,1,2.40,1.35,10,5,15
emplooi,1,3.75,1.50,4,11,15
employé,2,2.53,1.46,15,0,15
emulatie,3,1.89,1.05,9,6,15
emuleren,4,2.00,1.60,8,7,15
emulgator,1,3.22,1.30,9,6,15
emulsie,5,3.43,1.40,14,1,15
en,5,1.20,0.56,15,0,15
enamel,5,3.67,1.15,3,12,15
encefalitis,1,2.75,0.96,4,11,15
encefalogram,2,2.80,1.48,10,5,15
enclave,1,2.73,1.27,11,4,15
encycliek,5,2.00,1.33,10,5,15
encyclopedie,5,4.00,1.13,15,0,15
endeldarm,4,4.27,0.80,15,0,15
endemisch,5,1.25,0.46,8,7,15
endocrien,3,1.92,1.26,13,2,15
endocrinologie,2,1.67,0.71,9,6,15
endogeen,4,1.62,0.87,13,2,15
endorfine,2,3.00,1.57,14,1,15
endoscopie,5,3.82,1.40,11,4,15
energetisch,1,2.33,1.18,15,0,15
energie,4,2.47,1.25,15,0,15
energiebron,4,3.33,0.98,15,0,15
energiek,3,2.60,1.24,15,0,15
energieloos,4,2.13,0.74,15,0,15
energieveld,3,2.33,1.05,15,0,15
enerveren,2,2.47,1.06,15,0,15
enerverend,5,2.13,0.92,15,0,15
enerzijds,1,1.13,0.35,15,0,15
eng,5,1.93,0.88,15,0,15
engagement,5,1.53,0.64,15,0,15
engageren,3,1.67,0.82,15,0,15
engel,3,3.07,1.28,15,0,15
engelachtig,1,1.93,0.70,15,0,15
engelenhaar,3,3.60,1.06,15,0,15
engerd,5,2.40,0.74,15,0,15
engerling,5,2.88,1.46,8,7,15
enggeestig,3,1.47,0.83,15,0,15
engineering,2,2.13,1.13,15,0,15
engte,3,2.69,1.38,13,2,15
enig,5,1.60,1.12,15,0,15
enige,1,1.67,0.98,15,0,15
enigen,2,1.71,0.61,14,1,15
enigerlei,4,1.30,0.48,10,5,15
enigma,4,1.71,1.25,7,8,15
enigmatisch,5,1.55,0.69,11,4,15
enigst,1,1.60,0.91,15,0,15
enigszins,4,1.40,1.06,15,0,15
enkel,1,4.00,1.65,15,0,15
enkelband,1,4.73,0.46,15,0,15
enkele,3,1.87,0.92,15,0,15
enkeling,1,2.13,1.06,15,0,15
enkeltje,3,2.71,1.38,14,1,15
enkelvoud,4,1.73,0.70,15,0,15
enkelvoudig,3,2.20,1.21,15,0,15
enne,4,1.67,1.63,6,9,15
enorm,1,1.80,0.77,15,0,15
enormiteit,4,2.29,0.91,14,1,15
enquête,3,3.53,1.25,15,0,15
enquêteren,1,2.87,1.25,15,0,15
enquêteur,5,3.33,1.11,15,0,15
ensceneren,3,1.60,1.12,15,0,15
enscenering,3,2.00,1.00,13,2,15
ensemble,4,3.57,0.94,14,1,15
ent,1,3.45,1.37,11,4,15
entameren,2,2.50,2.12,2,13,15
enten,3,2.90,1.10,10,5,15
enter,2,3.33,1.18,15,0,15
enteren,1,3.50,1.09,14,1,15
entertainen,2,2.73,1.03,15,0,15
entertainer,5,3.20,1.15,15,0,15
entertainment,3,2.27,1.03,15,0,15
enthousiasme,4,2.53,0.64,15,0,15
enthousiast,1,2.27,0.80,15,0,15
entiteit,2,1.47,0.74,15,0,15
entourage,3,2.21,1.37,14,1,15
entrecote,1,4.67,0.49,15,0,15
entree,5,3.13,0.99,15,0,15
entrepreneur,1,2.85,1.14,13,2,15
entropie,3,2.38,1.51,8,7,15
envelop,1,4.93,0.26,15,0,15
enveloppe,3,4.87,0.35,15,0,15
enzovoort,5,1.20,0.77,15,0,15
enzovoorts,2,1.47,0.74,15,0,15
enzym,3,2.40,1.40,15,0,15
epaulet,2,4.40,1.07,10,5,15
epicentrum,1,3.00,1.30,14,1,15
epicurisme,3,1.20,0.42,10,5,15
epicurist,4,2.78,1.56,9,6,15
epidemie,1,2.47,1.41,15,0,15
epidemiologie,3,1.67,1.05,15,0,15
epiek,4,2.18,1.17,11,4,15
epigoon,4,3.75,1.89,4,11,15
epigram,1,3.17,1.72,6,9,15
epilepsie,5,3.40,1.24,15,0,15
epilepticus,4,3.40,1.18,15,0,15
epileptisch,1,2.93,1.49,15,0,15
epileren,1,4.20,0.68,15,0,15
epiloog,3,2.47,1.19,15,0,15
episch,5,1.47,0.83,15,0,15
episcopaat,5,2.14,0.90,7,8,15
episode,5,2.60,0.99,15,0,15
epistel,2,3.17,1.19,12,3,15
epitheel,3,2.86,2.04,7,8,15
epitheton,2,2.50,2.12,2,13,15
eponiem,4,1.63,0.74,8,7,15
epos,1,2.07,1.07,14,1,15
equator,1,2.82,1.66,11,4,15
equipage,2,2.25,1.14,12,3,15
equivalent,4,2.27,1.22,15,0,15
er,3,1.27,0.59,15,0,15
era,4,1.80,1.32,10,5,15
eraan,1,1.20,0.41,15,0,15
erachter,5,2.20,1.21,15,0,15
erachteraan,4,1.80,0.86,15,0,15
eraf,2,1.93,0.96,15,0,15
erbarmelijk,4,1.75,0.45,12,3,15
erbarmen,2,1.80,0.79,10,5,15
erbij,2,1.93,0.80,15,0,15
erbinnen,4,1.80,0.94,15,0,15
erboven,4,2.27,1.33,15,0,15
erbovenop,3,2.53,1.36,15,0,15
erbuiten,3,2.00,1.13,15,0,15
erdoor,4,1.93,1.16,15,0,15
erdoorheen,1,2.20,1.01,15,0,15
erecode,3,2.00,1.18,14,1,15
erectie,2,4.20,0.86,15,0,15
eredienst,1,2.53,1.46,15,0,15
eredivisie,1,2.29,1.33,14,1,15
eregast,4,2.93,1.10,15,0,15
erehaag,2,3.57,0.85,14,1,15
erelid,2,2.40,1.55,15,0,15
erelijst,4,2.93,1.44,15,0,15
ereloon,4,2.20,1.15,15,0,15
eremedaille,4,3.93,1.14,14,1,15
eren,1,2.20,1.15,15,0,15
ereprijs,1,2.53,1.36,15,0,15
ereteken,5,2.87,1.19,15,0,15
erewacht,5,2.14,1.03,14,1,15
erewoord,3,1.93,1.28,15,0,15
erezaak,2,1.67,0.98,15,0,15
erf,4,3.93,1.10,15,0,15
erfdeel,2,1.93,1.07,14,1,15
erfelijk,3,1.93,0.88,15,0,15
erfelijkheid,5,1.93,1.10,15,0,15
erfenis,5,2.93,1.28,15,0,15
erfgenaam,4,2.67,1.50,15,0,15
erfgename,1,2.40,1.30,15,0,15
erfgoed,2,2.20,1.15,15,0,15
erfpacht,3,1.93,0.92,14,1,15
erfstuk,2,2.67,1.05,15,0,15
erfzonde,3,1.60,0.74,15,0,15
erg,2,1.67,0.72,15,0,15
ergens,1,1.13,0.35,15,0,15
ergeren,1,2.40,1.24,15,0,15
ergerlijk,4,2.00,0.76,15,0,15
ergernis,2,2.00,0.65,15,0,15
ergonomie,2,1.93,1.39,15,0,15
ergonomisch,5,2.21,1.19,14,1,15
ergotherapeut,4,3.27,1.16,15,0,15
ergotherapie,4,2.53,1.25,15,0,15
erheen,4,1.60,0.99,15,0,15
erin,4,2.13,1.30,15,0,15
erkend,2,1.47,0.64,15,0,15
erkennen,5,2.13,1.19,15,0,15
erkenning,4,2.13,0.83,15,0,15
erkentelijk,4,1.31,0.48,13,2,15
erker,3,4.11,0.78,9,6,15
erlangs,2,1.87,0.92,15,0,15
ermee,4,1.40,0.83,15,0,15
erna,4,1.60,1.12,15,0,15
ernaar,1,1.20,0.41,15,0,15
ernaartoe,3,1.60,0.83,15,0,15
ernaast,1,2.47,1.25,15,0,15
ernst,2,1.67,0.98,15,0,15
ernstig,4,2.13,0.64,15,0,15
eroderen,5,3.00,1.22,13,2,15
erogeen,1,2.31,1.38,13,2,15
erom,2,1.62,0.87,13,2,15
eromheen,2,2.20,0.94,15,0,15
eronder,5,1.87,1.06,15,0,15
eronderdoor,5,1.60,0.91,15,0,15
eronderuit,2,2.53,1.19,15,0,15
erop,3,2.13,1.25,15,0,15
eropaf,5,1.43,1.09,14,1,15
eropuit,3,1.77,1.17,13,2,15
erosie,2,3.27,1.22,15,0,15
erotiek,3,2.53,1.30,15,0,15
erotisch,5,2.40,0.99,15,0,15
erover,5,1.60,1.12,15,0,15
eroverheen,1,2.20,1.15,15,0,15
erratisch,5,1.67,0.52,6,9,15
erratum,5,2.29,1.38,7,8,15
ertegen,3,2.20,1.32,15,0,15
ertegenaan,4,1.80,1.01,15,0,15
ertegenin,1,1.53,0.74,15,0,15
ertegenover,1,2.67,1.50,15,0,15
ertoe,4,1.73,1.39,15,0,15
erts,4,4.00,0.78,14,1,15
ertussen,1,2.60,1.55,15,0,15
ertussendoor,2,2.07,1.16,15,0,15
ertussenin,5,2.20,1.26,15,0,15
ertussenuit,5,1.53,0.64,15,0,15
erudiet,1,2.00,1.53,7,8,15
eruditie,5,2.57,1.40,7,8,15
eruit,3,2.40,1.35,15,0,15
eruitzien,2,2.27,0.80,15,0,15
eruptie,4,3.15,1.21,13,2,15
ervan,5,1.00,0.00,15,0,15
ervandoor,5,1.60,0.99,15,0,15
ervaren,5,1.80,0.77,15,0,15
ervaring,1,2.00,1.00,15,0,15
erven,5,2.47,1.36,15,0,15
ervoor,5,1.47,1.13,15,0,15
erwt,4,4.73,0.80,15,0,15
erwten,3,5.00,0.00,15,0,15
erwtensoep,2,4.80,0.41,15,0,15
es,5,4.87,0.52,15,0,15
escalatie,5,1.93,1.03,15,0,15
escaleren,2,2.27,0.96,15,0,15
escapade,4,2.23,1.01,13,2,15
escapisme,1,1.62,1.19,13,2,15
escapist,1,2.70,1.16,10,5,15
eschatologie,4,1.40,0.55,5,10,15
escort,5,3.33,0.90,15,0,15
escorte,4,3.87,0.92,15,0,15
escorteren,2,3.07,1.22,15,0,15
escudo,1,3.50,0.71,2,13,15
esculaap,1,4.00,2.00,4,11,15
esdoorn,1,4.73,0.46,15,0,15
eskader,5,3.00,1.53,7,8,15
eskadron,1,4.11,1.05,9,6,15
eskimo,1,4.33,0.62,15,0,15
esoterie,5,1.25,0.46,8,7,15
esoterisch,5,1.40,0.52,10,5,15
esp,1,5.00,0.00,8,7,15
espadrille,2,4.29,1.44,14,1,15
espenblad,1,4.69,0.48,13,2,15
espresso,5,4.60,0.74,15,0,15
esprit,3,2.08,1.12,13,2,15
essay,2,2.80,1.15,15,0,15
essayist,3,2.50,1.45,14,1,15
essentie,3,1.53,0.83,15,0,15
essentieel,2,1.47,0.64,15,0,15
estafette,1,4.13,0.99,15,0,15
ester,1,3.78,1.20,9,6,15
estheet,3,1.79,1.05,14,1,15
esthetica,3,1.53,0.92,15,0,15
esthetiek,4,1.73,0.88,15,0,15
esthetisch,3,1.53,0.92,15,0,15
estuarium,3,2.17,1.17,6,9,15
etablissement,3,2.73,1.16,15,0,15
etage,1,4.07,0.80,15,0,15
etalage,2,4.33,0.82,15,0,15
etalagepop,3,4.60,0.63,15,0,15
etaleren,2,2.93,0.96,15,0,15
etaleur,4,3.50,1.51,12,3,15
etappe,1,3.20,1.15,15,0,15
eten,2,4.60,0.51,15,0,15
etenstijd,1,2.47,1.19,15,0,15
etenswaar,3,3.80,0.86,15,0,15
etenswaren,2,3.73,1.03,15,0,15
etentje,2,4.00,0.53,15,0,15
eter,1,3.79,1.05,14,1,15
ethanol,2,3.60,1.35,15,0,15
ether,1,4.07,1.22,15,0,15
etherisch,3,2.36,1.43,11,4,15
ethiek,2,1.53,1.13,15,0,15
ethisch,1,1.60,0.91,15,0,15
ethos,5,1.40,0.70,10,5,15
etiket,4,4.53,0.92,15,0,15
etiologie,4,1.90,1.20,10,5,15
etiquette,1,2.87,1.36,15,0,15
etmaal,4,2.29,1.20,14,1,15
etniciteit,3,1.73,1.16,15,0,15
etnisch,4,1.71,1.20,14,1,15
etnocentrisme,4,1.64,0.67,11,4,15
etnografie,3,1.85,0.99,13,2,15
ets,5,4.31,0.75,13,2,15
etsen,1,4.00,1.18,14,1,15
etser,3,3.45,1.04,11,4,15
ettelijke,1,1.40,0.63,15,0,15
etter,4,4.87,0.52,15,0,15
etterbak,3,2.47,1.41,15,0,15
etteren,5,3.93,1.22,15,0,15
etude,3,2.20,1.48,10,5,15
etui,1,4.80,0.41,15,0,15
etymologie,1,1.54,1.05,13,2,15
etymologisch,2,1.20,0.77,15,0,15
eucalyptus,1,4.71,0.47,14,1,15
eucharistie,2,2.60,1.18,15,0,15
euclidisch,5,1.25,0.46,8,7,15
eufemisme,5,1.40,0.91,15,0,15
eufemistisch,4,1.79,1.12,14,1,15
euforie,5,2.13,1.06,15,0,15
euforisch,1,1.93,0.70,15,0,15
eunuch,4,3.13,1.46,8,7,15
eureka,3,1.64,1.15,14,1,15
euro,2,4.33,0.90,15,0,15
euthanasie,3,2.40,1.45,15,0,15
euvel,1,2.27,1.27,11,4,15
euvelmoed,4,1.86,0.69,7,8,15
evacuatie,5,2.73,1.22,15,0,15
evacué,2,2.50,1.27,10,5,15
evacueren,1,3.33,1.11,15,0,15
evaluatie,2,2.13,0.99,15,0,15
evalueren,4,1.93,0.88,15,0,15
evangelie,2,2.33,1.23,15,0,15
evangelist,2,2.53,1.51,15,0,15
evaporeren,5,3.25,1.22,12,3,15
evasief,3,1.22,0.44,9,6,15
even,2,1.73,0.70,15,0,15
evenaar,4,3.67,1.23,15,0,15
evenals,3,1.53,0.83,15,0,15
evenaren,4,2.00,0.96,14,1,15
evenbeeld,3,2.33,1.11,15,0,15
eveneens,5,1.40,0.74,15,0,15
evenement,1,3.33,1.11,15,0,15
evengoed,2,1.53,0.74,15,0,15
evenknie,5,2.13,0.99,8,7,15
evenmin,2,1.33,0.62,15,0,15
evenredig,4,1.80,1.08,15,0,15
eventjes,4,1.40,0.83,15,0,15
eventualiteit,5,1.14,0.36,14,1,15
eventueel,5,1.13,0.52,15,0,15
evenveel,2,2.47,1.13,15,0,15
evenwel,2,1.40,0.63,15,0,15
evenwicht,3,2.33,0.98,15,0,15
evenwichtig,5,2.13,0.92,15,0,15
evenwijdig,5,3.40,1.06,15,0,15
evenzeer,1,1.13,0.35,15,0,15
evenzo,1,1.33,0.82,15,0,15
ever,1,3.89,1.45,9,6,15
everzwijn,3,4.80,0.56,15,0,15
evident,5,1.27,0.59,15,0,15
evidentie,1,1.60,1.06,15,0,15
evocatief,3,1.58,0.79,12,3,15
evoceren,1,2.20,0.92,10,5,15
evolueren,5,1.93,0.96,15,0,15
evolutie,3,1.73,0.80,15,0,15
evolutieleer,4,2.00,1.20,15,0,15
evolutionair,5,1.47,0.74,15,0,15
ex,2,2.40,1.40,15,0,15
excellent,2,1.73,0.70,15,0,15
excellentie,4,2.60,1.06,15,0,15
excelleren,5,2.08,1.26,13,2,15
excentriciteit,4,1.83,1.03,12,3,15
excentriek,2,2.13,0.83,15,0,15
excentriekeling,5,2.33,0.98,15,0,15
excentrisch,1,2.17,1.19,12,3,15
exceptioneel,2,1.33,0.49,15,0,15
excerperen,2,1.67,0.58,3,12,15
excerpt,3,2.57,1.51,7,8,15
exces,2,1.82,0.87,11,4,15
excessief,1,1.57,0.65,14,1,15
excitatie,3,1.78,1.09,9,6,15
exclusie,2,2.07,1.07,14,1,15
exclusief,3,1.67,0.72,15,0,15
excrement,1,4.38,0.92,8,7,15
excretie,4,3.17,1.27,12,3,15
excursie,2,2.60,1.30,15,0,15
excuseren,2,2.87,0.99,15,0,15
excuses,5,2.07,1.22,15,0,15
excuus,5,1.80,1.08,15,0,15
exhaustief,5,1.10,0.32,10,5,15
exhibitie,4,2.93,1.21,14,1,15
exhibitionist,1,3.79,1.48,14,1,15
existentieel,3,1.27,0.59,15,0,15
expansie,2,2.13,0.99,15,0,15
expansief,2,1.93,1.00,14,1,15
expediteur,4,3.18,1.25,11,4,15
expeditie,5,3.07,1.10,15,0,15
experiment,2,3.07,1.22,15,0,15
experimenteel,1,2.07,1.22,15,0,15
experimenteren,3,2.27,1.03,15,0,15
expert,1,2.33,0.82,15,0,15
expertise,2,1.47,0.52,15,0,15
explicatie,3,1.80,1.15,15,0,15
expliceren,1,2.27,1.03,15,0,15
expliciet,2,1.53,0.92,15,0,15
expliciteren,4,1.86,0.86,14,1,15
exploderen,4,3.40,1.30,15,0,15
exploitant,5,2.77,1.42,13,2,15
exploitatie,5,1.87,1.19,15,0,15
exploiteren,4,2.21,1.05,14,1,15
exploot,5,2.44,1.01,9,6,15
exploratie,2,2.33,0.98,15,0,15
exploreren,1,2.67,1.11,15,0,15
explosie,5,3.73,1.10,15,0,15
explosief,3,3.13,1.13,15,0,15
expo,2,3.20,1.21,15,0,15
exponent,5,1.87,1.13,15,0,15
exponentieel,1,1.86,1.17,14,1,15
export,2,2.80,1.21,15,0,15
exporteren,1,2.87,1.36,15,0,15
exporteur,5,2.93,1.07,14,1,15
exposant,3,2.31,1.44,13,2,15
exposé,2,2.58,1.24,12,3,15
exposeren,2,2.80,0.94,15,0,15
expositie,3,2.87,1.51,15,0,15
expres,3,1.80,0.94,15,0,15
expresbrief,2,2.79,1.37,14,1,15
expresse,1,1.92,1.31,12,3,15
expressie,3,2.07,0.88,15,0,15
expressief,3,2.07,0.70,15,0,15
expressionist,5,2.13,1.25,15,0,15
expressiviteit,4,2.33,1.11,15,0,15
exprestrein,3,4.07,0.96,15,0,15
expresweg,1,3.80,1.15,15,0,15
expulsie,4,2.42,1.16,12,3,15
exquis,2,1.56,1.01,9,6,15
